boundary x,boundary y,x,y,z,I4 BHL x,I4 BHL y,N1ST BHL x,N1ST BHL y
4505.477422,1800.62465,1702.392344,1448.838004,7372,3297.687987,687.724883,1395.121097,2280.923755
3997.776815,1747.958424,635.9383307,1781.909319,7388,,,,
3361.926253,1699.214151,3297.687987,687.724883,7335.5758,,,,
3190.355056,1595.338424,-329.6119086,1975.176578,7635,,,,
2957.622727,1393.301817,1395.121097,2280.923755,7540,,,,
2742.630287,1181.628411,4505.477422,1800.62465,7000,,,,
2532.537059,901.6009665,3997.776815,1747.958424,7000,,,,
2329.990199,595.5765768,3361.926253,1699.214151,7000,,,,
2086.66925,224.1115999,3190.355056,1595.338424,7000,,,,
2271.673771,616.3068998,2957.622727,1393.301817,7000,,,,
2440.064431,962.7834332,2742.630287,1181.628411,7000,,,,
2659.027604,1237.992478,2532.537059,901.6009665,7000,,,,
2843.637027,1477.119555,2329.990199,595.5765768,7000,,,,
3038.242423,1656.072668,2086.66925,224.1115999,7000,,,,
3084.113271,1729.693328,2271.673771,616.3068998,7000,,,,
2697.41135,1852.170318,2440.064431,962.7834332,7000,,,,
2332.42005,2028.546147,2659.027604,1237.992478,7000,,,,
2093.129098,2235.177042,2843.637027,1477.119555,7000,,,,
1810.614453,2410.544369,3038.242423,1656.072668,7000,,,,
1385.983148,2586.471975,3084.113271,1729.693328,7000,,,,
999.0836771,2632.414853,2697.41135,1852.170318,7000,,,,
619.7305737,2652.360785,2332.42005,2028.546147,7000,,,,
308.8874199,2667.936541,2093.129098,2235.177042,7000,,,,
10.6873941,2665.695425,1810.614453,2410.544369,7000,,,,
-296.3825762,2668.272709,1385.983148,2586.471975,7000,,,,
-622.9111106,2506.240022,999.0836771,2632.414853,7000,,,,
-906.6110491,2222.402681,619.7305737,2652.360785,7000,,,,
-1122.927066,1989.550728,308.8874199,2667.936541,7000,,,,
-1374.722862,1775.972374,10.6873941,2665.695425,7000,,,,
-1598.782795,1492.583255,-296.3825762,2668.272709,7000,,,,
-1915.315356,1270.376604,-622.9111106,2506.240022,7000,,,,
-2164.463997,1099.155342,-906.6110491,2222.402681,7000,,,,
-2391.902016,981.8329192,-1122.927066,1989.550728,7000,,,,
-2672.559702,893.4208931,-1374.722862,1775.972374,7000,,,,
-2822.420278,843.4440063,-1598.782795,1492.583255,7000,,,,
-2720.603588,-22.07499259,-1915.315356,1270.376604,7000,,,,
-2353.893612,-24.20405279,-2164.463997,1099.155342,7000,,,,
-2032.856937,-23.41966219,-2391.902016,981.8329192,7000,,,,
-1560.833656,-28.01394999,-2672.559702,893.4208931,7000,,,,
-1192.800103,-8.964463997,-2822.420278,843.4440063,7000,,,,
-927.6302493,-21.62676939,-2720.603588,-22.07499259,7000,,,,
-532.986863,-17.03248159,-2353.893612,-24.20405279,7000,,,,
-206.8534263,-8.068017597,-2032.856937,-23.41966219,7000,,,,
-10.19352192,-16.36014679,-1560.833656,-28.01394999,7000,,,,
191.5631435,-16.47220259,-1192.800103,-8.964463997,7000,,,,
609.0431796,-13.3346402,-927.6302493,-21.62676939,7000,,,,
1021.426455,-18.37715119,-532.986863,-17.03248159,7000,,,,
1393.233191,-12.326138,-206.8534263,-8.068017597,7000,,,,
1770.136689,1.904948599,-10.19352192,-16.36014679,7000,,,,
2049.273248,-7.395682797,191.5631435,-16.47220259,7000,,,,
2393.146574,-8.068017597,609.0431796,-13.3346402,7000,,,,
2607.546367,-25.99694559,1021.426455,-18.37715119,7000,,,,
3131.465737,-80.68017597,1393.233191,-12.326138,7000,,,,
3261.531916,166.1787513,1770.136689,1.904948599,7000,,,,
3386.501333,404.8576053,2049.273248,-7.395682797,7000,,,,
3564.887967,691.1601741,2393.146574,-8.068017597,7000,,,,
3740.627446,935.1056507,2607.546367,-25.99694559,7000,,,,
3960.914195,1231.493242,3131.465737,-80.68017597,7000,,,,
4237.067767,1541.327528,3261.531916,166.1787513,7000,,,,
,,3386.501333,404.8576053,7000,,,,
,,3564.887967,691.1601741,7000,,,,
,,3740.627446,935.1056507,7000,,,,
,,3960.914195,1231.493242,7000,,,,
,,4237.067767,1541.327528,7000,,,,
