boundary x,boundary y,x,y,z
-2772.036151,16.73501937,1531.419458,2480.929597,36
-1628.389155,-32.87764867,1531.419458,2480.929597,70
-400.8506114,-32.2852586,1531.419458,2480.929597,48
431.1536417,-1.480975165,1702.392344,1448.838004,98
1458.266879,-17.0312144,1702.392344,1448.838004,28
2333.227007,-27.24994304,1702.392344,1448.838004,115
3129.611909,-25.17657781,1702.392344,1448.838004,52
3738.224349,-46.50262019,635.9383307,1781.909319,95
3882.721956,1886.16997,635.9383307,1781.909319,22
3971.717172,3244.372294,635.9383307,1781.909319,119
4114.938862,4850.045568,635.9383307,1781.909319,51
2682.296651,4934.313055,2616.05529,957.5985418,103
1322.913344,4943.791296,2616.05529,957.5985418,36
-13.82243488,4907.507405,2616.05529,957.5985418,128
-893.7799043,4936.978811,2616.05529,957.5985418,54
-1759.383307,2795.192527,-329.6119086,1975.176578,87
-2376.714514,1232.02324,-329.6119086,1975.176578,28
-2751.089846,184.9737981,-329.6119086,1975.176578,122
,,-329.6119086,1975.176578,74
,,-329.6119086,1975.176578,32
,,-329.6119086,1975.176578,109
,,-329.6119086,1975.176578,48
