f3por,f3w,f4por,f4w,f5por,f5w,,CALCULATED,f3porc,f3wc,f4porc,f4wc,f5porc,f5wc
0.317,0.616,0.25,0.6,0.24,0.66,,,0.32065056,0.49455775,0.22,0.52,0.3,0.87
0.302,0.569,0.25,0.55,0.26,0.67,,,0.33324624,0.47159159,0.28,0.43,0.3,0.61
0.315,0.575,0.26,0.6,0.25,0.76,,,0.3058813,0.44386697,0.29,0.48,0.33,0.56
0.24,0.573,0.236,0.808,0.27,0.76,,,0.26462904,0.5391264,0.27994516,0.79584908,0.33,0.67
0.296,0.604,0.261,0.786,0.25,0.8,,,0.28890811,0.38328052,0.28635642,0.74566022,0.32,0.79
0.311,0.61,0.226,0.831,0.24,0.66,,,0.3218842,0.36828837,0.27313001,0.83247294,0.29,0.8
0.261,0.568,0.253,0.781,0.26,0.77,,,0.32345951,0.38442115,0.29529646,0.75439398,0.28,0.78
0.314,0.542,,,0.25,0.76,,,0.28844988,0.42760243,,,0.27,0.72
0.295,0.7,,,0.25,0.76,,,0.33335752,0.41812577,,,0.3,0.91
0.292,0.581,,,0.25,0.73,,,0.28887241,0.61586405,,,0.23,0.69
0.301,0.561,,,0.27,0.73,,,0.31606042,0.65213374,,,0.28,0.79
0.248,0.82,,,0.24,0.75,,,0.3078434,0.55883134,,,0.15,0.81
0.263,0.8,,,0.313,0.545,,,0.21811273,0.56346606,,,0.28066608,0.60880742
0.21,0.767,,,0.27,0.653,,,0.24674226,0.76585257,,,0.24937165,0.67307187
0.22,0.79,,,0.273,0.582,,,0.31390826,0.7134984,,,0.21421455,0.82913778
0.217,0.821,,,0.232,0.643,,,0.33376639,0.67254257,,,0.33078446,0.45395769
0.2105,0.784,,,0.265,0.541,,,0.31718266,0.73584602,,,0.36337454,0.4117353
0.221,0.829,,,0.275,0.581,,,0.35711269,0.72368689,,,0.32682246,0.36390326
,,,,0.289,0.464,,,,,,,0.30199926,0.43695992
,,,,0.251,0.652,,,,,,,0.31160483,0.39886054
,,,,0.289,0.541,,,,,,,0.31114483,0.36173008
,,,,0.277,0.519,,,,,,,0.33496035,0.27087033
,,,,0.24,0.542,,,,,,,0.25870504,0.39651827
,,,,0.24,0.542,,,,,,,0.329267,0.41566548
,,,,0.215,0.789,,,,,,,0.25241008,0.31276993
,,,,0.23,0.84,,,,,,,0.27704695,0.43483774
,,,,0.242,0.729,,,,,,,0.23762355,0.64511061
,,,,0.263,0.636,,,,,,,0.28570485,0.55548115
,,,,0.307,0.667,,,,,,,0.30118599,0.49299855
,,,,0.266,0.621,,,,,,,0.29244748,0.4186851
,,,,0.339,0.59,,,,,,,0.29108901,0.38482851
,,,,0.326,0.622,,,,,,,0.29318376,0.51375403
,,,,0.261,0.604,,,,,,,0.28703809,0.52820296
,,,,0.25,0.838,,,,,,,0.22002224,0.88629127
,,,,0.228,0.787,,,,,,,0.23015749,0.8104624
,,,,0.236,0.746,,,,,,,0.21131247,0.84699586
,,,,0.299,0.462,,,,,,,0.27442168,0.52251756
,,,,0.302,0.57,,,,,,,0.36831956,0.45091015
,,,,0.302,0.614,,,,,,,0.37058481,0.52421831
